Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
796	7.9500	8.630361	-388.954193	1001.856201	64.685379	-382.883545	1004.954285	-15.681194	-364.861816	957.687195	38.002720	-359.024750	960.569763	34.368187	-293.299133	861.175415	213.845032	-468.273254	1207.649414	180.166504	-477.442383	1204.809326	257.112213	-440.288269	1180.616455	139.615738	-474.104645	1173.364990	218.147659	-437.944916	1148.750122
797	7.9600	8.638305	-388.960541	1001.854187	64.692932	-382.888916	1004.950745	-15.675281	-364.867371	957.686218	38.008339	-359.029358	960.567566	34.370358	-293.300720	861.175232	213.695969	-468.447906	1207.637573	180.021851	-477.635162	1204.770752	256.971008	-440.408539	1180.650513	139.491455	-474.297852	1173.300537	218.030060	-438.062225	1148.759888
798	7.9700	8.646132	-388.966797	1001.852234	64.700378	-382.894287	1004.947266	-15.669441	-364.872925	957.685181	38.013897	-359.033966	960.565369	34.372513	-293.302307	861.174988	213.560806	-468.623291	1207.617188	179.891464	-477.826263	1204.726196	256.840637	-440.533691	1180.674683	139.377823	-474.487030	1173.233276	217.918533	-438.181946	1148.765137
799	7.9800	8.653841	-388.973053	1001.850220	64.707718	-382.899628	1004.943787	-15.663676	-364.878448	957.684082	38.019394	-359.038544	960.563232	34.374653	-293.303894	861.174744	213.441101	-468.797302	1207.588623	179.776855	-478.013428	1204.676025	256.722595	-440.662262	1180.688477	139.276138	-474.669952	1173.163940	217.814346	-438.302734	1148.765503
800	7.9900	8.661431	-388.979279	1001.848206	64.714951	-382.904938	1004.940308	-15.657989	-364.883972	957.683044	38.024830	-359.043121	960.561035	34.376778	-293.305481	861.174438	213.338013	-468.967865	1207.551880	179.679077	-478.194550	1204.620728	256.618042	-440.792786	1180.691650	139.187393	-474.844574	1173.093506	217.718521	-438.423218	1148.761108
801	8.0000	8.668902	-388.985443	1001.846191	64.722084	-382.910217	1004.936829	-15.652377	-364.889465	957.681946	38.030205	-359.047699	960.558838	34.378887	-293.307037	861.174133	213.252304	-469.132996	1207.507935	179.598831	-478.367584	1204.561157	256.527893	-440.923737	1180.684692	139.112228	-475.009003	1173.022827	217.631927	-438.542145	1148.752075
802	8.0100	8.676253	-388.991608	1001.844177	64.729111	-382.915497	1004.933411	-15.646842	-364.894928	957.680847	38.035519	-359.052246	960.556641	34.380981	-293.308624	861.173828	213.184357	-469.290833	1207.457275	179.536407	-478.530579	1204.498047	256.452728	-441.053680	1180.667603	139.050980	-475.161438	1172.952759	217.555206	-438.658295	1148.738892
803	8.0200	8.683484	-388.997711	1001.842163	64.736031	-382.920746	1004.929993	-15.641384	-364.900391	957.679688	38.040768	-359.056793	960.554443	34.383060	-293.310181	861.173523	213.134171	-469.439606	1207.400879	179.491745	-478.681854	1204.432495	256.392761	-441.181244	1180.641235	139.003662	-475.300323	1172.884521	217.488815	-438.770477	1148.721680
804	8.0300	8.690593	-389.003784	1001.840149	64.742844	-382.925964	1004.926575	-15.636004	-364.905823	957.678528	38.045956	-359.061340	960.552246	34.385124	-293.311737	861.173157	213.101395	-469.577789	1207.339844	179.464417	-478.819885	1204.365479	256.348053	-441.305054	1180.606201	138.970016	-475.424347	1172.818848	217.432999	-438.877655	1148.701172
805	8.0400	8.697579	-389.009827	1001.838135	64.749550	-382.931152	1004.923157	-15.630703	-364.911255	957.677368	38.051079	-359.065857	960.550110	34.387173	-293.313293	861.172729	213.085358	-469.703979	1207.275513	179.453674	-478.943298	1204.298218	256.318237	-441.423920	1180.563599	138.949509	-475.532349	1172.757080	217.387863	-438.978790	1148.677612
