Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z		
193	0	-35.249660	-340.958832	1007.681274	20.882032	-344.829651	1010.782593	-54.848259	-313.439972	963.496704	-1.041479	-317.304199	966.291931	7.270238	-253.173584	865.683533	157.152908	-374.934357	1226.081055	174.778885	-393.112579	1201.796021	113.147743	-337.457062	1233.850098	175.394089	-403.788391	1151.191406	114.788101	-346.121704	1184.356323			
194	0	-35.252003	-340.959869	1007.681030	20.879702	-344.830536	1010.782837	-54.850475	-313.440399	963.496460	-1.043609	-317.304962	966.291626	7.269056	-253.174103	865.683838	157.340271	-374.806854	1225.829224	174.913483	-392.997101	1201.547607	113.373924	-337.294159	1233.620483	175.418091	-403.667755	1150.993652	114.914444	-345.952240	1184.142822			
195	0	-35.254349	-340.960938	1007.680786	20.877369	-344.831482	1010.783081	-54.852695	-313.440887	963.496216	-1.045740	-317.305786	966.291321	7.267874	-253.174637	865.684265	157.565918	-374.646606	1225.562744	175.078400	-392.857239	1201.285156	113.643745	-337.092499	1233.377075	175.455826	-403.538422	1150.786255	115.068481	-345.759918	1183.919067			
196	0	-35.256687	-340.962006	1007.680542	20.875032	-344.832397	1010.783325	-54.854919	-313.441406	963.495911	-1.047873	-317.306549	966.291016	7.266690	-253.175140	865.684570	157.823883	-374.451691	1225.283325	175.268707	-392.691498	1201.010986	113.950645	-336.850403	1233.120972	175.504730	-403.400360	1150.570435	115.245872	-345.544464	1183.686279			
197	0	-35.259033	-340.963074	1007.680298	20.872700	-344.833282	1010.783569	-54.857140	-313.441864	963.495667	-1.050007	-317.307312	966.290710	7.265507	-253.175644	865.684875	158.107529	-374.221222	1224.993530	175.478989	-392.499207	1200.727661	114.287384	-336.567352	1232.853149	175.562134	-403.253571	1150.347534	115.441849	-345.306000	1183.445068			
198	0	-35.261383	-340.964142	1007.680054	20.870363	-344.834229	1010.783813	-54.859367	-313.442413	963.495422	-1.052142	-317.308136	966.290405	7.264322	-253.176178	865.685181	158.409836	-373.955383	1224.696289	175.703461	-392.280396	1200.438110	114.646103	-336.243896	1232.575684	175.625168	-403.098633	1150.119507	115.651352	-345.045502	1183.197388			
199	0	-35.263729	-340.965149	1007.679810	20.868027	-344.835175	1010.784058	-54.861591	-313.442902	963.495056	-1.054278	-317.308899	966.290039	7.263136	-253.176697	865.685486	158.723312	-373.655273	1224.393555	175.936050	-392.036102	1200.145386	115.018578	-335.881897	1232.289917	175.690948	-402.936310	1149.888062	115.869057	-344.764526	1182.944214			
200	0	-35.266071	-340.966217	1007.679565	20.865694	-344.836121	1010.784241	-54.863819	-313.443420	963.494751	-1.056415	-317.309692	966.289673	7.261951	-253.177231	865.685791	159.040359	-373.323151	1224.088623	176.170547	-391.768097	1199.851685	115.396347	-335.484222	1231.997681	175.756454	-402.767609	1149.654297	116.089569	-344.465240	1182.687134			
201	0	-35.268421	-340.967285	1007.679321	20.863356	-344.837006	1010.784363	-54.866051	-313.443970	963.494507	-1.058553	-317.310516	966.289429	7.260766	-253.177734	865.686035	159.353378	-372.962402	1223.783936	176.400772	-391.478912	1199.559937	115.770920	-335.055176	1231.701294	175.818787	-402.593903	1149.420166	116.307442	-344.150421	1182.427856			
202	0	-35.270771	-340.968384	1007.679077	20.861021	-344.837952	1010.784607	-54.868279	-313.444458	963.494263	-1.060691	-317.311279	966.289124	7.259579	-253.178268	865.686340	159.654816	-372.577454	1223.482056	176.620667	-391.172058	1199.272461	116.133888	-334.599854	1231.402222	175.875107	-402.416931	1149.186890	116.517418	-343.823517	1182.167725			
203	0	-35.273125	-340.969452	1007.678894	20.858683	-344.838928	1010.784851	-54.870510	-313.445038	963.493958	-1.062829	-317.312103	966.288818	7.258393	-253.178802	865.686707	159.937469	-372.173645	1223.185425	176.824387	-390.851562	1198.991821	116.477203	-334.124542	1231.103027	175.922745	-402.238556	1148.955566	116.714386	-343.488373	1181.908325			
